148.04565430;	2.11764717
148.04565430;	2.92156863
148.04981995;	2.96078420
148.05798340;	2.43137264
148.05798340;	2.52941179
148.05798340;	2.27450991
148.06610107;	2.49019599
148.06610107;	3.43137264
148.07029724;	3.41176462
148.07029724;	3.41176462
148.07843018;	3.11764717
148.07843018;	2.94117641
148.08255005;	2.47058821
148.08255005;	2.70588231
148.09082031;	2.94117641
148.09082031;	2.64705873
148.09550476;	2.23529410
148.10310364;	2.13725495
148.10310364;	1.68627453
148.10310364;	2.56862736
148.11132813;	2.62745094
148.11132813;	2.50980401
148.11549377;	2.07843137
148.11549377;	2.03921580
148.12345886;	1.76470590
148.12345886;	1.96078432
148.12765503;	2.84313726
148.12765503;	2.76470590
148.13577271;	2.82352948
148.13577271;	2.66666675
148.13577271;	2.50980401
148.13992310;	2.21568632
148.14813232;	2.66666675
148.14813232;	3.01960778
148.14813232;	2.82352948
148.15623474;	2.84313726
148.15623474;	3.07843137
148.16043091;	2.70588231
148.16043091;	2.39215684
148.16847229;	3.35294127
148.16847229;	3.29411769
148.17263794;	2.88235283
148.17263794;	2.43137264
148.18092346;	2.43137264
148.18092346;	1.98039210
148.18092346;	2.11764717
148.18504333;	2.68627453
148.19325256;	2.35294127
148.19325256;	2.41176462
148.19325256;	1.90196073
148.20158386;	1.88235295
148.20158386;	1.31372547
148.20579529;	2.07843137
148.20579529;	2.49019599
148.21359253;	2.39215684
148.21359253;	2.35294127
148.21778870;	2.23529410
148.21778870;	2.23529410
148.22596741;	1.88235295
148.22596741;	2.70588231
148.22596741;	2.80392146
148.23005676;	2.78431368
148.23820496;	2.27450991
148.23820496;	2.47058821
148.23820496;	2.00000000
148.24636841;	2.17647052
148.24636841;	2.80392146
148.25065613;	2.68627453
148.25065613;	2.58823538
148.25874329;	2.09803915
148.25874329;	2.43137264
148.26287842;	2.58823538
148.27090454;	3.03921580
148.27090454;	2.88235283
148.27090454;	2.86274505
148.27507019;	2.37254906
148.28329468;	2.15686274
