2815.75805664;	2.70588231
2815.75805664;	2.23529410
2815.76635742;	2.03921580
2815.76635742;	2.31372547
2815.77075195;	2.43137264
2815.77075195;	2.45098042
2815.77880859;	2.92156863
2815.77880859;	2.68627453
2815.78710938;	2.49019599
2815.78710938;	2.74509811
2815.79101563;	2.68627453
2815.79101563;	2.58823538
2815.79907227;	2.78431368
2815.79907227;	2.41176462
2815.80346680;	2.39215684
2815.80346680;	2.72549009
2815.81127930;	2.90196085
2815.81127930;	2.49019599
2815.81567383;	3.03921580
2815.81567383;	2.88235283
2815.82373047;	2.43137264
2815.82373047;	2.27450991
2815.83178711;	2.60784316
2815.83178711;	2.47058821
2815.83593750;	3.07843137
2815.83593750;	2.68627453
2815.84423828;	2.35294127
2815.84423828;	2.43137264
2815.84838867;	3.05882359
2815.84838867;	2.37254906
2815.85644531;	2.68627453
2815.85644531;	2.92156863
2815.86059570;	2.47058821
2815.86059570;	2.25490189
2815.86889648;	2.58823538
2815.86889648;	2.78431368
2815.87719727;	2.78431368
2815.87719727;	2.43137264
2815.88110352;	2.01960778
2815.88110352;	1.72549021
2815.88916016;	2.27450991
2815.88916016;	1.98039210
2815.89355469;	1.88235295
2815.89355469;	2.41176462
2815.90161133;	2.00000000
2815.90161133;	1.80392158
2815.90576172;	1.78431368
2815.90576172;	2.43137264
2815.91381836;	1.86274505
2815.91381836;	2.29411769
2815.91381836;	2.58823538
2815.92211914;	2.13725495
2815.92211914;	2.03921580
2815.92626953;	2.45098042
2815.92626953;	2.64705873
2815.93432617;	2.21568632
2815.93432617;	2.78431368
2815.93847656;	2.62745094
2815.93847656;	2.17647052
2815.94653320;	1.94117641
2815.94653320;	2.56862736
2815.95092773;	2.39215684
2815.95092773;	2.37254906
2815.95996094;	3.17647052
2815.95996094;	2.62745094
2815.95996094;	2.33333325
2815.96704102;	2.45098042
2815.96704102;	2.94117641
2815.97119141;	2.25490189
2815.97119141;	2.54901958
2815.97949219;	2.52941179
2815.97949219;	2.11764717
2815.98339844;	1.84313726
2815.98339844;	2.11764717
2815.99169922;	2.21568632
2815.99169922;	1.94117641
2815.99560547;	2.50980401
2815.99560547;	2.31372547
2816.00415039;	1.98039210
2816.00415039;	1.78431368
2816.00415039;	2.27450991
2816.01220703;	1.98039210
2816.01220703;	1.92156863
2816.01635742;	2.49019599
2816.01635742;	2.07843137
2816.02441406;	1.78431368
2816.02441406;	1.86274505
2816.02880859;	2.45098042
2816.02880859;	1.84313726
2816.03686523;	2.19607854
2816.03686523;	2.31372547
2816.04077148;	1.92156863
2816.04077148;	1.88235295
2816.04907227;	2.29411769
2816.04907227;	2.62745094
2816.04907227;	2.27450991
2816.05737305;	2.92156863
2816.05737305;	2.88235283
2816.06152344;	2.43137264
2816.06152344;	2.23529410
2816.06958008;	2.78431368
2816.06958008;	2.47058821
2816.07348633;	2.41176462
2816.07348633;	2.90196085
2816.08154297;	2.47058821
2816.08154297;	2.13725495
2816.08593750;	2.86274505
2816.09423828;	2.21568632
2816.09423828;	2.68627453
2816.09423828;	2.78431368
2816.10229492;	2.29411769
2816.10229492;	2.07843137
2816.10620117;	2.45098042
2816.10620117;	2.58823538
2816.11450195;	2.17647052
2816.11450195;	2.78431368
2816.11865234;	2.50980401
2816.11865234;	2.49019599
2816.12695313;	2.21568632
2816.12695313;	2.78431368
2816.13085938;	2.66666675
2816.13940430;	3.01960778
2816.13940430;	2.60784316
2816.13940430;	2.35294127
2816.14746094;	2.41176462
2816.14746094;	2.92156863
2816.15136719;	2.29411769
2816.15136719;	2.74509811
2816.15942383;	2.70588231
2816.15942383;	2.25490189
2816.16381836;	1.98039210
2816.16381836;	2.25490189
2816.17211914;	2.29411769
2816.17211914;	2.00000000
2816.17602539;	2.23529410
2816.18408203;	2.11764717
2816.18408203;	1.86274505
2816.18408203;	2.45098042
2816.19238281;	2.13725495
2816.19238281;	2.17647052
2816.19653320;	2.68627453
2816.19653320;	2.19607854
2816.20458984;	1.96078432
2816.20458984;	2.03921580
2816.20874023;	2.45098042
2816.20874023;	2.00000000
2816.21704102;	2.41176462
2816.21704102;	2.52941179
2816.22509766;	1.98039210
2816.22509766;	2.19607854
2816.22924805;	2.25490189
2816.22924805;	2.25490189
2816.23730469;	2.68627453
2816.23730469;	2.31372547
2816.24145508;	2.23529410
2816.24145508;	2.11764717
2816.24975586;	2.74509811
2816.24975586;	2.41176462
2816.25390625;	2.52941179
2816.25390625;	3.00000000
2816.26196289;	2.58823538
2816.26196289;	2.37254906
2816.27001953;	2.94117641
2816.27001953;	2.35294127
2816.27441406;	2.76470590
2816.27441406;	2.88235283
2816.28271484;	2.33333325
2816.28271484;	2.13725495
2816.28662109;	2.52941179
2816.28662109;	2.60784316
2816.29467773;	2.17647052
2816.29467773;	2.86274505
2816.29907227;	2.58823538
2816.29907227;	2.21568632
2816.30712891;	2.01960778
2816.30712891;	2.31372547
2816.31616211;	2.27450991
2816.31616211;	2.62745094
2816.31933594;	2.29411769
2816.31933594;	2.17647052
2816.32763672;	2.23529410
2816.32763672;	2.43137264
2816.33178711;	2.37254906
2816.33178711;	2.56862736
2816.33984375;	2.62745094
2816.33984375;	2.33333325
2816.34399414;	2.25490189
2816.34399414;	2.72549009
2816.35229492;	2.82352948
2816.35229492;	2.52941179
2816.35229492;	3.01960778
2816.36035156;	2.84313726
2816.36035156;	2.41176462
2816.36450195;	2.21568632
2816.36450195;	2.47058821
2816.37255859;	2.47058821
2816.37255859;	2.45098042
2816.37695313;	2.82352948
2816.37695313;	2.37254906
2816.38500977;	2.17647052
2816.38500977;	2.39215684
2816.38916016;	2.76470590
2816.38916016;	2.15686274
2816.39721680;	2.56862736
2816.39721680;	2.68627453
2816.39721680;	2.23529410
2816.40551758;	2.05882359
2816.40551758;	2.52941179
2816.40966797;	2.54901958
2816.40966797;	2.21568632
2816.41772461;	2.76470590
2816.41772461;	2.50980401
2816.42187500;	2.09803915
2816.42187500;	2.00000000
2816.42993164;	2.56862736
2816.42993164;	2.23529410
2816.43432617;	2.31372547
2816.43432617;	2.80392146
2816.44238281;	2.27450991
2816.44238281;	2.13725495
2816.44238281;	2.37254906
