3327.35668945;	2.41176462
3327.35668945;	2.98039222
3327.36083984;	2.41176462
3327.36889648;	2.45098042
3327.36889648;	2.78431368
3327.36889648;	2.74509811
3327.37695313;	2.82352948
3327.37695313;	3.17647052
3327.38110352;	2.70588231
3327.38110352;	2.58823538
3327.38940430;	2.90196085
3327.38940430;	3.07843137
3327.39355469;	2.72549009
3327.39355469;	3.11764717
3327.40161133;	3.13725495
3327.40161133;	2.80392146
3327.40966797;	3.39215684
3327.40966797;	3.43137264
3327.41406250;	3.31372547
3327.41406250;	4.05882359
3327.42211914;	3.76470590
3327.42211914;	3.52941179
3327.42626953;	3.60784316
3327.42626953;	3.84313726
3327.43432617;	3.25490189
3327.43432617;	3.23529410
3327.43847656;	3.29411769
3327.43847656;	2.68627453
3327.44677734;	2.41176462
3327.44677734;	2.80392146
3327.45483398;	2.70588231
3327.45483398;	3.25490189
3327.45898438;	3.19607854
3327.45898438;	2.84313726
3327.46728516;	2.74509811
3327.46728516;	3.09803915
3327.47143555;	2.92156863
3327.47143555;	2.66666675
3327.47949219;	3.17647052
3327.47949219;	2.82352948
3327.48339844;	2.45098042
3327.48339844;	2.50980401
3327.49194336;	3.00000000
3327.49194336;	2.76470590
3327.50000000;	3.33333325
3327.50000000;	2.88235283
3327.50415039;	2.68627453
3327.50415039;	2.84313726
3327.51220703;	2.98039222
3327.51220703;	2.37254906
3327.51635742;	2.60784316
3327.51635742;	2.50980401
3327.52465820;	1.96078432
3327.52465820;	1.96078432
3327.52856445;	2.47058821
3327.52856445;	2.19607854
3327.53686523;	1.92156863
3327.53686523;	2.52941179
3327.53686523;	2.07843137
3327.54516602;	1.68627453
3327.54516602;	1.66666663
3327.54931641;	2.13725495
3327.54931641;	1.80392158
3327.55737305;	2.00000000
3327.55737305;	2.52941179
3327.56127930;	2.05882359
3327.56127930;	1.94117641
3327.56933594;	2.23529410
3327.56933594;	2.39215684
3327.57373047;	1.92156863
3327.57373047;	2.25490189
3327.58203125;	2.13725495
3327.58203125;	1.72549021
3327.58203125;	1.60784316
3327.59008789;	2.15686274
3327.59008789;	2.03921580
3327.59423828;	1.74509799
3327.59423828;	2.25490189
3327.60253906;	1.96078432
3327.60253906;	1.64705884
3327.60668945;	1.70588231
3327.60668945;	2.21568632
3327.61474609;	2.01960778
3327.61474609;	2.33333325
3327.61865234;	2.66666675
3327.61865234;	2.19607854
3327.62719727;	1.98039210
3327.62719727;	2.19607854
3327.62719727;	2.21568632
3327.63525391;	1.84313726
3327.63525391;	2.25490189
3327.63916016;	2.21568632
3327.63916016;	1.92156863
3327.64721680;	1.88235295
3327.64721680;	2.35294127
3327.65136719;	2.17647052
3327.65136719;	1.88235295
3327.65966797;	2.41176462
3327.65966797;	2.05882359
3327.66381836;	1.66666663
3327.66381836;	1.76470590
3327.67211914;	2.19607854
3327.67211914;	1.80392158
3327.67211914;	2.00000000
3327.67993164;	2.37254906
3327.67993164;	1.88235295
3327.68432617;	1.66666663
3327.68432617;	2.09803915
3327.69238281;	2.41176462
3327.69238281;	1.84313726
3327.69653320;	2.27450991
3327.69653320;	2.21568632
3327.70458984;	1.96078432
3327.70458984;	1.86274505
3327.70898438;	2.45098042
3327.71704102;	2.27450991
3327.71704102;	2.94117641
3327.71704102;	2.58823538
3327.72509766;	2.31372547
3327.72509766;	2.39215684
3327.72924805;	2.86274505
3327.72924805;	2.41176462
3327.73779297;	2.78431368
3327.73779297;	3.09803915
3327.74169922;	2.58823538
3327.74169922;	2.45098042
3327.74975586;	2.80392146
3327.74975586;	3.13725495
3327.75390625;	3.01960778
3327.76245117;	3.00000000
3327.76245117;	2.68627453
3327.76245117;	2.66666675
3327.77026367;	3.07843137
3327.77026367;	2.82352948
3327.77441406;	2.64705873
3327.77441406;	3.05882359
3327.78247070;	2.54901958
3327.78247070;	2.13725495
3327.78686523;	2.11764717
3327.78686523;	2.41176462
3327.79516602;	2.05882359
3327.79516602;	2.27450991
3327.79907227;	2.01960778
3327.80712891;	1.96078432
3327.80712891;	2.25490189
3327.80712891;	2.39215684
3327.81542969;	1.90196073
3327.81542969;	2.47058821
3327.81958008;	2.35294127
3327.81958008;	2.05882359
3327.82763672;	1.98039210
3327.82763672;	2.43137264
3327.83178711;	2.37254906
3327.83178711;	2.15686274
3327.83984375;	2.62745094
3327.83984375;	2.23529410
3327.84814453;	2.13725495
3327.84814453;	2.62745094
3327.85229492;	2.45098042
3327.85229492;	2.72549009
3327.86035156;	3.01960778
3327.86035156;	2.54901958
3327.86450195;	2.37254906
3327.86450195;	2.64705873
