595.29443359;	1.84313726
595.29443359;	2.01960778
595.30255127;	2.21568632
595.30255127;	2.39215684
595.30676270;	2.66666675
595.30676270;	2.52941179
595.31481934;	3.00000000
595.31481934;	2.92156863
595.31909180;	2.84313726
595.32714844;	2.94117641
595.32714844;	2.76470590
595.32714844;	2.70588231
595.33532715;	2.62745094
595.33532715;	2.25490189
595.33953857;	2.21568632
595.33953857;	2.37254906
595.34765625;	2.09803915
595.34765625;	1.88235295
595.35174561;	2.11764717
595.35174561;	2.31372547
595.36004639;	2.11764717
595.36004639;	2.27450991
595.36401367;	2.50980401
595.37249756;	2.21568632
595.37249756;	2.17647052
595.37249756;	2.21568632
595.38055420;	1.88235295
595.38055420;	2.23529410
595.38488770;	2.41176462
595.38488770;	2.39215684
595.39288330;	2.31372547
595.39288330;	2.58823538
595.39703369;	2.05882359
595.39703369;	2.05882359
595.40502930;	2.25490189
595.40502930;	2.25490189
595.40911865;	2.35294127
595.41729736;	2.45098042
595.41729736;	2.35294127
595.41729736;	2.35294127
595.42547607;	2.15686274
595.42547607;	1.96078432
595.42962646;	2.09803915
595.42962646;	2.00000000
595.43786621;	1.98039210
595.43786621;	1.96078432
595.44195557;	2.58823538
595.44195557;	2.70588231
595.45013428;	2.66666675
595.45013428;	2.72549009
595.45843506;	2.58823538
595.45843506;	2.49019599
595.46252441;	2.50980401
595.46252441;	2.35294127
595.47070313;	2.27450991
595.47070313;	2.41176462
595.47479248;	2.33333325
595.47479248;	2.13725495
595.48309326;	2.19607854
595.48309326;	1.96078432
595.48687744;	1.98039210
595.48687744;	1.96078432
595.49517822;	2.15686274
595.49517822;	2.13725495
595.50335693;	2.45098042
595.50335693;	2.64705873
595.50750732;	2.58823538
595.50750732;	2.62745094
595.51562500;	2.74509811
595.51562500;	2.60784316
595.51983643;	2.68627453
595.51983643;	3.03921580
595.52801514;	2.92156863
595.52801514;	2.68627453
595.53198242;	2.84313726
595.53198242;	2.84313726
595.54022217;	2.43137264
595.54022217;	2.45098042
595.54846191;	2.33333325
595.54846191;	2.15686274
595.55255127;	2.35294127
595.55255127;	2.17647052
595.56060791;	2.09803915
595.56060791;	2.31372547
595.56475830;	2.35294127
595.56475830;	2.27450991
595.57293701;	2.27450991
595.57293701;	2.49019599
595.57714844;	1.96078432
595.57714844;	1.94117641
595.58526611;	2.35294127
595.58526611;	2.19607854
595.59338379;	2.62745094
595.59338379;	2.82352948
595.59759521;	2.80392146
595.59759521;	3.01960778
595.60577393;	3.13725495
595.60577393;	3.01960778
595.61004639;	2.76470590
595.61004639;	2.58823538
595.61804199;	2.45098042
595.61804199;	2.09803915
595.62231445;	2.17647052
595.62231445;	2.19607854
595.63043213;	2.03921580
595.63043213;	2.00000000
595.63043213;	2.15686274
595.63861084;	1.74509799
595.63861084;	1.96078432
595.64270020;	2.25490189
595.64270020;	2.09803915
595.65075684;	1.94117641
595.65075684;	2.39215684
595.65502930;	2.49019599
595.65502930;	2.45098042
595.66326904;	2.66666675
595.66326904;	2.68627453
595.66729736;	2.80392146
595.66729736;	2.68627453
595.67547607;	2.60784316
595.67547607;	2.05882359
595.67547607;	2.01960778
595.68359375;	2.29411769
595.68359375;	2.01960778
595.68780518;	1.96078432
595.68780518;	2.41176462
595.69641113;	2.47058821
595.69641113;	2.31372547
595.70001221;	2.50980401
595.70001221;	2.58823538
595.70843506;	2.45098042
595.70843506;	2.31372547
595.71264648;	2.45098042
595.71264648;	2.39215684
595.72052002;	2.11764717
595.72052002;	2.13725495
595.72052002;	2.35294127
595.72857666;	2.29411769
595.72857666;	2.13725495
595.73272705;	2.41176462
595.73272705;	2.17647052
595.74090576;	1.90196073
595.74090576;	2.37254906
595.74505615;	2.35294127
595.74505615;	2.15686274
595.75335693;	2.27450991
595.75335693;	2.35294127
595.75738525;	2.15686274
595.75738525;	2.05882359
595.76556396;	2.29411769
595.76556396;	2.23529410
595.76556396;	2.09803915
595.77368164;	2.21568632
595.77368164;	2.31372547
595.77807617;	2.25490189
595.77807617;	1.92156863
595.78607178;	2.21568632
595.78607178;	2.47058821
595.79016113;	2.27450991
595.79016113;	2.94117641
595.79827881;	3.05882359
595.79827881;	3.07843137
595.80230713;	3.31372547
595.81060791;	3.03921580
595.81060791;	2.88235283
595.81060791;	2.76470590
595.81872559;	2.35294127
595.81872559;	2.25490189
